  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      467        0.925        5.580            0      469.890       96.364      143.830
      468        0.869        5.524            0      473.582       73.885      138.484
      469        0.836        5.522            0      471.908       69.504      142.515
      470        0.833        5.527            0      470.919       74.482      149.161
      471        0.783        5.464            0      472.046       79.522      142.265
      472        0.882        5.515            0      473.801       76.099      144.890
      473        0.859        5.486            0      468.166       74.847      148.192
      474        0.853        5.503            0      467.595       75.044      151.706
      475        0.937        5.585            0      474.299       72.405      141.999
      476        0.828        5.588            0      469.331       90.551      145.289
      477        0.833        5.488            0      470.656       68.285      145.144
      478        0.805        5.525            0      468.727       85.526      153.652
      479        0.784        5.567            0      473.853       76.986      147.754
      480        0.832        5.522            0      471.190       70.715      150.418
      481        0.861        5.556            0      471.134       81.869      147.789
      482        0.869        5.562            0      475.039       83.880      142.209
      483        0.779        5.547            0      474.151       88.409      144.177
      484        0.995        5.407            0      461.655       98.886      149.181
      485        0.773        5.481            0      468.762       91.678      151.963
      486        1.093        5.402            0      470.917       92.468      150.013
      487        1.079        5.448            0      467.820      107.476      147.717
      488        1.220        5.512            0      467.414       95.349      151.543
      489        1.156        5.456            0      469.990       99.195      148.429
      490        1.043        5.546            0      479.389      114.101      152.274
      491        1.136        5.693            0      469.892       98.123      146.164
      492        1.164        5.653            0      472.210       88.777      141.853
      493        1.122        5.729            0      477.146       98.355      147.887
      494        1.108        5.615            0      473.019      101.892      140.923
      495        1.159        5.660            0      472.662       87.294      148.796
      496        1.144        5.654            0      468.714       82.244      153.445
      497        1.170        5.615            0      470.201       76.871      144.315
      498        1.113        5.630            0      472.916       79.811      150.148
      499        1.253        5.672            0      473.882       76.242      142.428
      500        1.095        5.669            0      471.235       87.201      143.615
      501        1.153        5.649            0      474.749       86.447      145.192
      502        1.156        5.727            0      474.614       85.260      145.441
      503        1.114        5.659            0      468.310       95.631      149.683
      504        1.176        5.716            0      470.276       92.664      139.014
      505        1.173        5.690            0      473.648       90.095      146.687
      506        1.087        5.612            0      469.534       82.305      141.533
      507        1.013        5.474            0      471.685       73.504      153.324
      508        1.177        5.709            0      475.455       84.347      145.945
      509        1.127        5.724            0      474.220       82.672      143.907
      510        1.079        5.635            0      475.051       87.011      144.012
